word,frequency,lemmas,seven_k,pos,cefr,ranking,tc
part,523003,"[""parted"",""parting"",""parts""]",1,"[""noun"",""verb intransitive"",""adv"",""other"",""adjective"",""verb"",""verb transitive""]",A1,45,"n.部分,局部,零件,角色vt.分開,分離,分配vi.分開,斷裂,分手adv.部分地,有幾分adj.部分的,局部的"
win,518264,"[""won"",""winning"",""wins""]",1,"[""adjective"",""verb intransitive"",""other"",""noun""]",A1,46,"v.(獲)勝,贏得,勸誘,取得勝利n.贏,勝利"
list,516243,"[""listed"",""listing"",""lists""]",1,"[""noun"",""verb transitive"",""verb intransitive"",""other""]",A1,47,"n.目錄,名單,列表,序列,數據清單,明細表,條紋,[總稱]各種上市證券vt.列出,列於表上,記入名單內,裝布條vi.列於表上"
history,510900,"[""histories""]",1,"[""noun"",""verb transitive"",""noun (plural)"",""adjective"",""adv""]",A1,48,"n.歷史,歷史學,過去的事(的記載),來歷,歷史記錄"
not,501907,"[""nots""]",1,"[""other"",""adjective"",""adv""]",A1,49,adv.不
game,478688,"[""games""]",1,"[""noun"",""verb intransitive"",""adjective"",""other"",""adv""]",A1,50,"n.比賽,游戲,競賽,[復]運動會,玩耍,比分,比賽規則,策略vi.賭博adj.勇敢的,有膽量的,關於野味的,跛的"
make,476662,"[""made"",""making"",""makes"",""maketh"",""madest""]",1,"[""noun"",""verb transitive"",""verb intransitive"",""other"",""adjective""]",A1,51,"vt.制造,安排,使成為,認為,產生,獲得,進行,構成vi.開始,前進,增大,被制造,被處理n.制造,構造,性情"
late,475310,"[""later"",""latest""]",1,"[""verb"",""adjective"",""noun"",""adv""]",A1,52,"adj.遲的,晚(期)的,已故的,新近的adv.晚,遲,最近,在晚期"
become,461921,"[""became"",""becoming"",""becomes""]",1,"[""past participle"",""verb intransitive"",""verb transitive"",""other"",""adjective"",""noun""]",A1,53,"vi.變成,成為,變得vt.適合,相稱"
stand,459690,"[""stood"",""standing"",""stands""]",1,"[""noun"",""verb transitive"",""verb intransitive"",""other"",""adjective""]",A1,54,"n.停止,抵抗的狀態,立場,立足點,看台,架子,台v.站,立,站起,(使)豎立,(使)位於,維持不變,持久,經受"
area,458371,"[""areas""]",1,"[""noun"",""noun (plural)""]",A1,55,"n.範圍,區域,面積,地區,空地"
write,453827,"[""wrote"",""writing"",""written"",""writes""]",1,"[""verb transitive"",""verb intransitive"",""other"",""noun"",""past participle""]",A1,56,"vt.書寫,著述,寫,寫滿,寫信給vi.寫,寫字,寫信,寫作,作曲"
build,450099,"[""built"",""building"",""builds""]",1,"[""verb transitive"",""verb intransitive"",""noun"",""other"",""adjective""]",A1,57,"v.建造,建築n.構造,體格,體形"
north,448680,"[""norths""]",1,"[""noun"",""adjective"",""verb intransitive"",""adv""]",A1,58,"n.北,北方,北部adj.北,北方的adv.在北方,向北方"
between,446107,[],1,"[""prep"",""noun""]",A1,59," prep.在...之間,連接...,由...協力合作"
most,442617,"[""mosts""]",1,"[""adjective""]",A1,60,"adj.最多的,多數的,大部分的adv.最,最多,很,十分,最,最大的,其中大多數,極其n.大多數,大部分"
live,439978,"[""lived"",""living"",""lives""]",1,"[""verb intransitive"",""verb transitive"",""adjective"",""noun"",""other"",""noun (plural)"",""superlative"",""adv""]",A1,61,"adj.活的,生動的,精力充沛的,實況轉播的,點燃的vi.活著,生活,居住,流在人們記憶中vt.過著,度過,經歷adv.以實況地"
station,433952,"[""stationed"",""stationing"",""stations""]",1,"[""noun"",""verb transitive"",""other""]",A1,62,"n.位置,崗位,地位,身份,...局,...站vt.駐扎,配置"
music,425854,"[""musics""]",1,"[""noun"",""adjective"",""adv""]",A1,63,"n.音樂,樂曲"
house,420694,"[""housed"",""housing"",""houses""]",1,"[""noun"",""verb transitive"",""verb intransitive"",""other"",""noun (plural)""]",A1,64,"n.房子,住宅,庫房,機構,家庭,家族,議院,劇場vt.給...房子住,收藏,覆蓋vi.住,躲藏(up)"
all,415793,"[""alls""]",1,"[""adjective"",""adv"",""noun"",""other""]",A1,65,"adj.全部的,所有的,整個的adv.完全,更加,越發 pron.全部"
song,410896,"[""songs""]",1,"[""noun"",""adjective""]",A1,66,"n.歌,歌曲"
good,407455,"[""better"",""best"",""goods""]",1,"[""superlative"",""noun"",""adv"",""verb transitive"",""adjective"",""other"",""verb intransitive"",""noun (plural)""]",A1,67,"n.好,好事,慷慨的行為,好處,利益adj.優良的,上等的,虔誠的,愉快的,慈善的,好心的,有益的"
high,407390,"[""higher"",""highest"",""highs""]",1,"[""verb intransitive"",""superlative"",""adv"",""noun"",""verb transitive"",""other""]",A1,68,"n.高度,高處adj.高的,高原的,高等的,高音的,傲慢的,高尚的,昂貴的,嚴重的adv.高度地,奢侈地,高價地"
into,405672,[],1,"[""prep""]",A1,69," prep.到...裡,進入到...之內,成為...狀況,深入...之中"
when,398221,"[""whens""]",1,"[""adv""]",A1,70," conj.就在那個時候,在...的時候adv.什麼時候,...的時候 pron.什麼時侯,那時"
place,393158,"[""placed"",""placing"",""places""]",1,"[""noun"",""other""]",A1,71,"n.地方,地點,位置,職位,處境,住所,地位vt.放置,寄予,任命vi.名次列前"
group,388196,"[""grouped"",""grouping"",""groups""]",1,"[""noun"",""other""]",A1,72,"n.團體,組,團,群,批,[地]界,[化]基v.聚合,成群"
listing,376429,"[""listings""]",1,"[""other"",""noun"",""verb transitive"",""verb intransitive""]",A1,73,"n.[計] 清單,列表 vbl.list的進行時"
river,374186,"[""rivers""]",1,"[""noun"",""verb intransitive""]",A1,74,"n.河,江"
can,370349,"[""cans"",""canst"",""cannot""]",1,"[""other"",""noun"",""verb transitive""]",A1,75,"vt.裝進罐中,把食品裝罐n.罐頭,鐵罐 conj.能,可以"
act,369525,"[""acted"",""acting"",""acts""]",1,"[""noun"",""verb transitive"",""verb intransitive"",""other"",""adjective""]",A1,76,"n.幕,法案,法令,動作,舉動,節目,(戲劇的)幕vi.行動,產生...的效果,擔當,表演,假裝,表現,見效vt.扮演,裝作"
only,365822,[],1,"[""adjective"",""other""]",A1,77,"adj.唯一的,單獨的,最好的,最合適的adv.僅僅,只不過 conj.但是,可是"
office,365563,"[""offices""]",1,"[""noun"",""verb transitive"",""adjective"",""verb intransitive"",""adv"",""other""]",A1,78,"n.辦公室,辦事處,事務所,<英>政府機關,部,公職,職責,幫助"
housing,364257,"[""housings""]",1,"[""other"",""noun"",""verb transitive"",""verb intransitive""]",A1,79,"n.供給住宅,住宅群,機架,住房供給"
over,361913,"[""overing"",""overs""]",1,"[""prep"",""adv"",""adjective"",""noun""]",A1,80,"adv.結束,越過,從頭到尾 prep.在...之上,越過adj.上面的vt.額外的東西,越過n.額外的東西"
where,361546,"[""wheres""]",1,"[""other"",""adv"",""noun""]",A1,81,"adv.什麼地方,在哪裡,...的(地方)"
take,358876,"[""taken"",""took"",""taking"",""takes""]",1,"[""past participle"",""verb transitive"",""verb intransitive"",""noun"",""other"",""adjective""]",A1,82,"v.拿,拿走,取,抓,占領,獲得,接受,感受n.捕獲量"
do,354378,"[""du"",""did"",""doing"",""done"",""does"",""doth"",""didst"",""didn't"",""don't"",""dos""]",1,"[""noun"",""other"",""verb intransitive"",""past participle"",""adjective"",""verb transitive""]",A1,83,"v.做,實行,盡力,給予,可用,制作,算出,解答 [域] Dominican Republic ,多米尼加共和國"
wee,354183,"[""weed"",""weeing"",""wees""]",1,"[""noun"",""adjective"",""verb transitive"",""adv"",""verb intransitive""]",A1,84,"adj.很少的,微小的,很早的n.一點點,一會兒,極小的空間"
west,350909,"[""wests""]",1,"[""noun"",""adjective"",""adv"",""verb intransitive""]",A1,85,"n.西方,西部adj.西的,西方的adv.向西方"
rive,349224,"[""rived"",""riven"",""rives"",""riving""]",1,"[""verb transitive"",""verb intransitive"",""noun"",""other"",""past participle""]",A1,86,"vt.撕開,劈開,使沮喪vi.裂開,破裂"
best,346900,"[""bestest"",""bested"",""bests""]",1,"[""adjective"",""noun"",""superlative"",""verb transitive"",""other"",""adv""]",A1,87,"adj.最好的adv.最好地,最,極n.最佳狀態或作品,最好的東西"
more,344386,"[""mores""]",1,"[""noun"",""superlative"",""adv"",""verb transitive""]",A1,88,"adj.更多的n.更多adv.更,更多,更加,超過,多,大大高於 num.更多"
there,343668,"[""theres""]",1,"[""other""]",A1,89,adv.在那裡
town,338386,"[""towns""]",1,"[""other""]",A1,90,"n.市鎮,城鎮"
about,336251,"[""abouts""]",1,"[""prep"",""adv""]",A1,91,"adv.附近,大約,轉向,左右,周圍;prep.在附近,關於,在...周圍,忙於"
under,335475,"[""unders""]",1,"[""prep"",""adv"",""adjective""]",A1,92," prep.在...之下,在...之內,在...領導下,低於,假借adv.在下"
january,332350,"[""januaries""]",1,"[""noun""]",A1,93,n.一月(略作Jan)
player,331403,"[""players""]",1,"[""noun""]",A1,94,"n.做游戲的人,比賽者,演員,演奏者,表演者"
follow,330560,"[""followed"",""following"",""follows""]",1,"[""verb transitive"",""verb intransitive"",""other"",""noun"",""adjective""]",A1,95,"vt.跟隨,追隨,沿...而行,理解,遵循,從事,追求,注視vi.跟隨,接著n.跟隨,追隨"
large,323322,"[""larger"",""largest"",""larges""]",1,"[""superlative"",""adv"",""noun""]",A1,96,"adj.大的,巨大的,寬大的,誇大的adv.大大地,誇大地,順風地n.大"
working,323285,"[""workings""]",1,"[""other"",""noun"",""verb transitive""]",A1,97,"n.工作,工作方式,勞動adj.工作的,勞動的,經營的,抽搐的,施工用的,運轉的"
september,317754,"[""septembers""]",1,"[""noun""]",A1,98,n.九月(略作Sep)
october,316418,"[""octobers""]",1,"[""noun""]",A1,99,n.十月(略作Oct)
number,315173,"[""numbered"",""numbering"",""numbers""]",1,"[""noun"",""other"",""adjective"",""verb transitive""]",A1,100,"n.數,數字,數量,號碼,算術,詩,韻律v.遍號碼,共計...,計入,計算,算入"
august,309333,"[""augusts""]",1,"[""adjective""]",A1,101,"adj.令人敬畏的,威嚴的n.八月(略作Aug) August 八月"
april,309299,"[""aprils""]",1,"[""noun""]",A1,102,n.四月(略作Apr)
find,308136,"[""finded"",""found"",""finding"",""finds"",""founds""]",1,"[""verb transitive"",""verb intransitive"",""noun"",""other""]",A1,103,"vt.找到,發現,感到,查明,得到,認為,見到...的存在vi.裁決n.發現 [計] 在文件中查找指定的字符串"
until,305872,[],1,"[""prep"",""other""]",A1,104," prep.到...為止,在...以前 conj.到...為止,在...以前,直到...才"
manis,305729,"[""manises""]",1,"[""noun"",""other"",""adjective""]",A1,105,
many,305579,"[""manies""]",1,"[""noun"",""other"",""adjective""]",A1,106,"n.多數,群眾adj.許多的 pron.許多人,許多"
june,305250,"[""junes""]",1,"[""noun""]",A1,107,n.六月(略作Jun)
july,305116,"[""julies""]",1,"[""noun"",""noun (plural)""]",A1,108,n.七月(略作Jul)
some,300413,"[""somes""]",1,"[""adjective""]",A1,109,"adj.一些,少許,若干,有些,大約,相當的 pron.一些,若干,有些,某些"
november,300213,"[""novembers""]",1,"[""noun""]",A1,110,n.十一月(略作Nov)
december,297196,"[""decembers""]",1,"[""noun""]",A1,111,n.十二月(略作Dec)
early,296332,"[""earlier"",""earliest"",""earlies""]",1,"[""adv"",""noun""]",A1,112,"adj.早的,早熟的,及早的,早先的,早期的adv.早,在初期"
well,294962,"[""welled"",""welling"",""wells""]",1,"[""verb intransitive"",""verb transitive"",""adjective"",""other""]",A1,113,"n.井vi.湧出adj.健康的,良好的,適當的adv.好,滿意地,充分地,徹底地,有理地,適當地,誇獎地int.唔,咳"
east,294502,"[""easts""]",1,"[""noun"",""adjective"",""adv"",""verb intransitive""]",A1,114,"n.東方,東,東部地區adj.東方的,從向東來的adv.在東方,向東方,朝東方"
party,293519,"[""partied"",""partying"",""parties""]",1,"[""verb"",""adv"",""noun (plural)""]",A1,115,"n.黨,政黨,隨行人員,[律]當事人,社交會"
building,291495,"[""buildings""]",1,"[""other"",""noun"",""verb transitive"",""verb intransitive""]",A1,116,"n.建築物,營造物(如房屋,大樓,工廠,船等)"
band,285515,"[""banded"",""banding"",""bands""]",1,"[""verb transitive"",""verb intransitive"",""other""]",A1,117,"n.帶子,鑲邊,波段,隊,樂隊v.聯合,結合"
people,284494,"[""peopled"",""peopling""]",1,"[""noun"",""verb transitive"",""other"",""adjective""]",A1,118,"n.人,人們,民族,人類,公民vt.使住(滿)人"
book,284015,"[""booked"",""booking"",""books""]",1,"[""noun"",""verb transitive"",""other"",""adjective""]",A1,119,"n.書,書籍,卷,篇,帳簿,名冊,工作簿v.登記,預訂,控告"
both,278687,[],1,"[""other""]",A1,120,"adj.兩者,雙方的 pron.雙方,兩者"
february,278659,"[""februaries""]",1,"[""noun""]",A1,121,n.二月(略作Feb)
numbering,276945,"[""numberings""]",1,"[""other"",""noun""]",A1,122,n.編號方式
call,273962,"[""called"",""calling"",""calls""]",1,"[""verb transitive"",""verb intransitive"",""noun"",""other"",""adjective""]",A1,123,"n.喊聲,叫聲,命令,號召,訪問,叫牌,通話,必要v.呼叫,召集,稱呼,認為,命名,打電話"
park,272654,"[""parked"",""parking"",""parks""]",1,"[""noun"",""verb transitive"",""other""]",A1,124,"n.公園,停車場,炮場vt.停放(汽車等)"
numb,271239,"[""number"",""numbed"",""numbing"",""numbs""]",1,"[""adjective"",""verb transitive"",""noun"",""other""]",A1,125,adj.麻木的v.失去知覺
show,268053,"[""showed"",""showing"",""shown"",""shows""]",1,"[""verb transitive"",""verb intransitive"",""noun"",""other"",""past participle"",""adjective""]",A1,126,"n.表示,展覽,炫耀,外觀,假裝v.出示,指示,引導,說明,顯示,展出,放映"
before,266959,"[""befores""]",1,"[""prep"",""adv""]",A1,127,"adv.在前,以前 prep.在...之前 conj.在...之前,與其...寧可"
up,266194,"[""upped"",""upping"",""ups""]",1,"[""adv"",""prep"",""noun"",""adjective""]",A1,128,"adv.向上,到(較高的地方,北方),起來,起床 prep.向上,在上,沿adj.向上的,上行的"
open,259819,"[""opened"",""opening"",""opens""]",1,"[""adjective"",""noun"",""verb transitive"",""verb intransitive"",""other""]",A1,129,"n.公開,戶外,空曠adj.開著的,敞開的,(車等)無篷的,開闊的,營業著的,公開的,坦率的,未決定的vt.打開,公開,開放vi.展開,開始,展現"
art,259392,"[""arts""]",1,"[""other"",""noun"",""adjective""]",A1,130,"n.藝術,藝術品,技術,巧妙,美術"
fine,258654,"[""finer"",""finest"",""fined"",""fining"",""fines""]",1,"[""superlative"",""adjective"",""noun"",""verb intransitive"",""verb transitive"",""other"",""adv""]",A1,131,"adj.美好的,優良的,傑出的,精美的,傑出的,細,纖細,純粹n.罰款,罰金,晴天,精細vt.罰款,精煉,澄清vi.變清,變細adv.<口>很好,妙,[常用於構成復合詞]細微地,精巧地"
run,257853,"[""ran"",""running"",""runneth"",""runs""]",1,"[""other"",""past participle"",""adjective"",""verb transitive"",""verb intransitive"",""noun""]",A1,132,"n.跑,賽跑,奔跑,運轉,趨向vi.跑,奔,逃跑,競選,跑步,蔓延,進行,行駛vt.使跑,參賽,追究,使流,管理,運行,開動adj.熔化的,融化的,澆鑄的 vbl.run的過去式和過去分詞"
than,257216,[],1,"[""other"",""adv""]",A1,133, conj.比 prep.與...相比較
country,256130,"[""countries""]",1,"[""adv"",""adjective"",""noun (plural)"",""verb transitive"",""other""]",A1,134,"n.國家,國土,[總稱]國民,鄉村,故鄉adj.鄉下的,鄉村的,[方]祖國的,故鄉的"
then,251429,"[""thens""]",1,"[""adv"",""other""]",A1,135,"adv.當時,在那時,那麼,因而,然後,於是"
day,251082,"[""days""]",1,"[""noun"",""adjective"",""adv""]",A1,136,"n.天,白天,日子,白晝,黎明,工作日,節日,重要日子"
own,249346,"[""owned"",""owning"",""owns""]",1,"[""verb transitive"",""adjective"",""other"",""noun""]",A1,137,"adj.自己的,特有的,(不用所有格)嫡親的,同胞的vt.擁有,自認,承認vi.承認"
line,248929,"[""lined"",""lining"",""lines""]",1,"[""noun"",""verb transitive"",""other""]",A1,138,"n.繩,索,線路,航線,詩句vt.排成一行,順...排列,劃線於,使有線條,使起皺紋vi.排隊"
star,239356,"[""starred"",""starring"",""stars""]",1,"[""noun"",""verb transitive"",""verb intransitive"",""other"",""adjective""]",A1,139,"n.星,恆星,明星,名角"
move,238538,"[""moved"",""moving"",""moves""]",1,"[""verb transitive"",""verb intransitive"",""noun"",""other"",""adjective""]",A1,140,"n.移動,遷居,步驟vt.移動,感動,鼓動vi.移動,離開,運行,遷移,搬家"
begin,238133,"[""began"",""beginning"",""begun"",""begins""]",1,"[""verb intransitive"",""verb transitive"",""noun"",""other""]",A1,141,"v.開始,首先"
die,237672,"[""died"",""dying"",""dies"",""dice""]",1,"[""noun (plural)"",""verb intransitive"",""noun"",""other"",""adjective""]",A1,142,"vi.死亡,消逝,平息,渴望,漠然,熄滅vt.死n.骰子,鋼型,硬模,衝模"
end,237209,"[""ended"",""ending"",""ends""]",1,"[""noun"",""verb transitive"",""verb intransitive"",""other""]",A1,143,"n.末端,盡頭,結束,目標,限度,梢,末端,死亡v.結束,終結,終止"
following,236978,"[""followings""]",1,"[""other"",""noun"",""adjective"",""verb transitive"",""verb intransitive""]",A1,144,"n.下列各項,部下,黨羽adj.下列的,其次的 prep.在...之後"
small,235201,"[""smaller"",""smallest"",""smalls""]",1,"[""superlative"",""adv"",""noun"",""verb transitive"",""noun (plural)""]",A1,145,"adj.小的,少的"
placing,234120,"[""placings""]",1,"[""other"",""noun""]",A1,146,n.(未經許可)出售
gaming,232456,"[""gamings""]",1,"[""other"",""noun"",""verb intransitive"",""adjective""]",A1,147,"n.賭博,賭勝負"
action,231465,"[""actioning"",""actioned"",""actions""]",1,"[""noun"",""adjective"",""other"",""verb transitive"",""adv""]",A1,148,"n.動作,作用,戰鬥,行動,舉動,行為,(戲劇或書中)的情節,(某一地區、領域或團體中)最能產生效果、最有趣、最有刺激性的活動vt.對...起訴"
cup,225234,"[""cupped"",""cupping"",""cups""]",1,"[""noun"",""verb transitive"",""other""]",A1,149,"n.杯子,酒杯,獎杯vt.使成杯狀,為...拔火罐"
home,224259,"[""homed"",""homing"",""homes""]",1,"[""noun"",""adjective"",""adv""]",A1,150,"n.家,住宅,家鄉,本國,產地,避難所adj.家庭的,國內的,有效的adv.在家,回家,深入地,在本國"
great,220398,"[""greater"",""greatest"",""greats""]",1,"[""superlative"",""noun""]",A1,151,"adj.偉大的,大的,強烈的,非常的,主要的,大寫的,重大的,崇高的adv.順利地,得意地n.全部,大人物,大師"
road,220306,"[""roads""]",1,"[""noun""]",A1,152,"n.路,道路,公路,大道"
now,214365,"[""nows""]",1,"[""adv"",""adjective"",""noun""]",A1,153,"adv.現在,目前,此刻,立刻,馬上n.現在,如今 conj.既然"
air,212214,"[""aired"",""airing"",""airs""]",1,"[""noun"",""other""]",A1,154,"n.空氣,樣子,天空,空中,曲調vt.晾干,使通風,宣揚,誇耀,顯示"
go,209214,"[""gone"",""went"",""going"",""goes"",""gos""]",1,"[""past participle"",""verb intransitive"",""verb transitive"",""noun"",""other""]",A1,155,"vi.離去,走,進行,變成,趨於,達到,求助於,訴諸vt.以...打賭,忍受,出產n.去,進行"
give,204898,"[""gave"",""given"",""giving"",""gives"",""giveth"",""gavest""]",1,"[""noun"",""verb intransitive"",""other"",""past participle"",""verb"",""adv""]",A1,156,"n.彈性,可彎性vt.給,授予,供給,獻出,讓步,引起,發表,捐助vi.捐贈,讓步"
study,204770,"[""studied"",""studying"",""studies""]",1,"[""verb intransitive"",""noun"",""verb transitive"",""adjective"",""other"",""noun (plural)""]",A1,157,"n.學習,研究,學科,試作,論文,求學,努力,書房vt.學習,攻讀,研究,考慮,計劃vi.學習,試圖"
final,204680,"[""finals""]",1,"[""adjective""]",A1,158,"n.結局,決賽,期末考試,<口>報紙(在一天中)最晚版adj.最後的,最終的,決定性的"
life,204673,"[""lives""]",1,"[""noun"",""noun (plural)"",""other""]",A1,159,"n.生命,生活,一生,壽命,生命力,傳記"
